iter	Passed	Remaining
0	20	20265
1	37	18959
2	53	17843
3	73	18242
4	90	18003
5	106	17583
6	121	17179
7	136	16878
8	151	16728
9	168	16659
10	184	16587
11	199	16412
12	214	16290
13	229	16138
14	244	16058
15	259	15972
16	277	16023
17	293	16002
18	310	16030
19	326	16005
20	343	16004
21	359	15979
22	376	16005
23	393	16015
24	410	15999
25	427	16016
26	447	16128
27	466	16187
28	486	16284
29	506	16368
30	521	16300
31	537	16252
32	553	16230
33	569	16175
34	585	16138
35	600	16083
36	618	16086
37	633	16038
38	650	16020
39	665	15972
40	682	15958
41	698	15937
42	714	15906
43	730	15875
44	747	15853
45	764	15864
46	781	15837
47	799	15848
48	814	15816
49	830	15770
50	845	15725
51	861	15708
52	877	15672
53	895	15683
54	913	15688
55	927	15641
56	944	15626
57	960	15603
58	978	15604
59	996	15607
60	1014	15611
61	1029	15581
62	1046	15568
63	1063	15560
64	1081	15554
65	1098	15541
66	1115	15527
67	1132	15521
68	1149	15507
69	1168	15523
70	1184	15494
71	1198	15446
72	1213	15411
73	1229	15381
74	1244	15350
75	1261	15342
76	1279	15338
77	1295	15314
78	1313	15307
79	1329	15294
80	1346	15275
81	1362	15247
82	1380	15252
83	1396	15226
84	1413	15214
85	1430	15202
86	1446	15176
87	1461	15151
88	1476	15115
89	1492	15093
90	1510	15084
91	1524	15044
92	1540	15020
93	1555	14995
94	1573	14992
95	1590	14980
96	1606	14951
97	1626	14969
98	1641	14934
99	1657	14919
100	1672	14886
101	1687	14856
102	1701	14817
103	1716	14791
104	1730	14750
105	1743	14705
106	1757	14667
107	1771	14632
108	1784	14588
109	1797	14544
110	1811	14511
111	1826	14478
112	1843	14474
113	1859	14451
114	1874	14429
115	1890	14404
116	1905	14377
117	1921	14361
118	1937	14347
119	1952	14321
120	1969	14305
121	1984	14279
122	1998	14249
123	2016	14246
124	2033	14232
125	2053	14245
126	2076	14271
127	2098	14292
128	2114	14279
129	2133	14275
130	2150	14265
131	2168	14261
132	2182	14226
133	2200	14219
134	2217	14210
135	2239	14229
136	2261	14245
137	2281	14249
138	2299	14242
139	2319	14247
140	2341	14263
141	2369	14317
142	2393	14345
143	2411	14335
144	2431	14339
145	2452	14342
146	2469	14330
147	2487	14318
148	2509	14332
149	2530	14338
150	2549	14336
151	2569	14334
152	2586	14316
153	2607	14322
154	2630	14342
155	2651	14345
156	2672	14350
157	2689	14331
158	2710	14338
159	2730	14335
160	2752	14346
161	2772	14343
162	2794	14348
163	2816	14357
164	2834	14344
165	2851	14326
166	2868	14307
167	2885	14292
168	2905	14285
169	2926	14288
170	2946	14284
171	2967	14287
172	2984	14265
173	3001	14250
174	3020	14239
175	3038	14224
176	3055	14205
177	3073	14192
178	3090	14176
179	3124	14233
180	3146	14235
181	3173	14263
182	3194	14260
183	3213	14251
184	3229	14229
185	3248	14217
186	3269	14214
187	3285	14190
188	3303	14173
189	3318	14148
190	3341	14154
191	3357	14130
192	3372	14103
193	3391	14091
194	3410	14079
195	3427	14058
196	3448	14056
197	3468	14050
198	3488	14041
199	3504	14017
200	3526	14018
201	3548	14017
202	3568	14009
203	3586	13992
204	3611	14006
205	3634	14009
206	3656	14007
207	3678	14006
208	3708	14035
209	3731	14037
210	3757	14050
211	3784	14065
212	3805	14060
213	3828	14061
214	3849	14054
215	3875	14064
216	3903	14084
217	3921	14068
218	3941	14057
219	3961	14046
220	3981	14034
221	4003	14029
222	4025	14027
223	4049	14028
224	4069	14017
225	4087	13999
226	4107	13985
227	4130	13984
228	4155	13990
229	4179	13990
230	4201	13987
231	4225	13989
232	4243	13968
233	4260	13947
234	4280	13934
235	4297	13912
236	4316	13895
237	4339	13893
238	4362	13891
239	4387	13892
240	4408	13885
241	4428	13871
242	4451	13866
243	4478	13875
244	4499	13866
245	4522	13860
246	4544	13854
247	4565	13844
248	4587	13835
249	4612	13836
250	4640	13848
251	4663	13841
252	4687	13839
253	4704	13816
254	4723	13799
255	4741	13780
256	4762	13767
257	4783	13755
258	4803	13744
259	4823	13728
260	4842	13710
261	4860	13689
262	4878	13671
263	4896	13650
264	4915	13634
265	4936	13622
266	4955	13605
267	4975	13589
268	4995	13574
269	5017	13564
270	5038	13553
271	5072	13575
272	5104	13594
273	5125	13580
274	5142	13558
275	5161	13540
276	5184	13531
277	5209	13528
278	5224	13502
279	5242	13481
280	5259	13457
281	5277	13437
282	5293	13410
283	5307	13381
284	5322	13353
285	5340	13332
286	5356	13307
287	5373	13284
288	5389	13259
289	5410	13247
290	5428	13226
291	5444	13201
292	5463	13182
293	5481	13163
294	5498	13139
295	5514	13115
296	5530	13089
297	5544	13061
298	5559	13034
299	5575	13008
300	5591	12985
301	5614	12975
302	5629	12949
303	5645	12926
304	5663	12905
305	5679	12881
306	5697	12860
307	5712	12835
308	5728	12810
309	5746	12791
310	5762	12766
311	5777	12740
312	5792	12714
313	5808	12689
314	5824	12666
315	5841	12643
316	5857	12619
317	5873	12595
318	5890	12575
319	5905	12549
320	5921	12524
321	5935	12498
322	5954	12479
323	5970	12457
324	5990	12440
325	6008	12422
326	6024	12399
327	6042	12378
328	6058	12355
329	6072	12329
330	6089	12307
331	6108	12290
332	6126	12272
333	6143	12249
334	6162	12232
335	6180	12214
336	6202	12203
337	6219	12180
338	6238	12163
339	6253	12138
340	6270	12118
341	6288	12098
342	6308	12083
343	6325	12063
344	6344	12044
345	6362	12025
346	6380	12007
347	6399	11990
348	6421	11978
349	6440	11961
350	6459	11943
351	6475	11920
352	6491	11898
353	6508	11877
354	6524	11854
355	6543	11836
356	6559	11813
357	6574	11790
358	6590	11767
359	6606	11744
360	6641	11756
361	6663	11743
362	6680	11723
363	6697	11701
364	6713	11679
365	6732	11661
366	6748	11639
367	6765	11618
368	6782	11598
369	6798	11575
370	6814	11553
371	6832	11534
372	6849	11514
373	6867	11495
374	6886	11478
375	6902	11454
376	6919	11434
377	6941	11422
378	6964	11412
379	6986	11399
380	7006	11382
381	7023	11361
382	7043	11346
383	7065	11333
384	7086	11320
385	7102	11298
386	7119	11277
387	7136	11255
388	7155	11238
389	7169	11214
390	7182	11187
391	7199	11165
392	7217	11147
393	7233	11126
394	7252	11108
395	7270	11089
396	7285	11065
397	7299	11041
398	7314	11018
399	7331	10997
400	7347	10975
401	7362	10952
402	7378	10930
403	7394	10908
404	7410	10886
405	7425	10864
406	7442	10843
407	7459	10823
408	7475	10802
409	7492	10782
410	7509	10762
411	7531	10748
412	7550	10731
413	7566	10710
414	7584	10691
415	7602	10672
416	7618	10650
417	7636	10632
418	7652	10611
